actual_origin_rate,actual_plan_rate,band,bp,day_string,item_sku_id,supp_brevity_cd,supp_name,vlt,z_value
1.0,1.0,C,2.46413317271,2016-07-13 00:00:00,1023247,gzxmcmy,广州美厨智能家居科技股份有限公司,9,25.0125656197
1.0,1.0,C,17.9596506515,2016-07-26 00:00:00,1023247,gzxmcmy,广州美厨智能家居科技股份有限公司,9,23.9710663957
1.0,1.0,C,23.0925771797,2016-08-30 00:00:00,1023247,gzxmcmy,广州美厨智能家居科技股份有限公司,8,13.0564415369
1.0,1.0,C,15.0243770518,2016-09-13 00:00:00,1023247,gzxmcmy,广州美厨智能家居科技股份有限公司,10,18.8646571931
1.0,1.0,C,14.1209168883,2016-09-20 00:00:00,1023247,gzxmcmy,广州美厨智能家居科技股份有限公司,9,43.685695346
0.0,0.0,C,1.58850827726,2016-10-12 00:00:00,1023247,gzxmcmy,广州美厨智能家居科技股份有限公司,7,49.2547812327
1.0,1.0,C,0.946439416047,2016-10-20 00:00:00,1023247,gzxmcmy,广州美厨智能家居科技股份有限公司,3,85.0272317441
1.0,1.0,E,18.8519181827,2016-07-26 00:00:00,1028779,bjzdx,北京紫丁香华盛日用品有限公司,5,-1.52331802001
1.0,1.0,E,26.7493464648,2016-08-02 00:00:00,1028779,bjzdx,北京紫丁香华盛日用品有限公司,11,7.7994294315
1.0,1.0,E,36.0626936058,2016-08-22 00:00:00,1028779,bjzdx,北京紫丁香华盛日用品有限公司,6,1.95181926065
1.0,1.0,E,38.2962094568,2016-09-05 00:00:00,1028779,bjzdx,北京紫丁香华盛日用品有限公司,7,3.7370671582
0.93333333333333335,0.93333333333333335,L,100.0,2016-09-21 00:00:00,1035015,shlklkmy,上海乐扣乐扣贸易有限公司,8,0.0
0.0,,D,9.84598073001,2016-07-26 00:00:00,1039456,cqrqmy,重庆芮齐贸易有限公司,7,2.63995450168
1.0,1.0,D,47.8278198485,2016-08-02 00:00:00,1039456,cqrqmy,重庆芮齐贸易有限公司,8,-1.63445052754
0.29411764705882354,1.0,D,35.9755728883,2016-08-29 00:00:00,1039456,cqrqmy,重庆芮齐贸易有限公司,7,-1.01460698285
0.0,,D,47.828117702,2016-09-05 00:00:00,1039456,cqrqmy,重庆芮齐贸易有限公司,8,-0.172238607125
0.9375,1.0,D,100.0,2016-09-20 00:00:00,1039456,cqrqmy,重庆芮齐贸易有限公司,8,-2.55871250218
1.0,1.0,L,22.3922373577,2016-07-13 00:00:00,1042550,cqrqmy,重庆芮齐贸易有限公司,6,10.5034111155
0.0,,L,53.7453812563,2016-08-02 00:00:00,1042550,cqrqmy,重庆芮齐贸易有限公司,8,2.00232002654
0.0,,L,100.0,2016-08-08 00:00:00,1042550,cqrqmy,重庆芮齐贸易有限公司,10,0.0
0.0,,L,76.8368817032,2016-08-15 00:00:00,1042550,cqrqmy,重庆芮齐贸易有限公司,12,-3.48936433033
