org_from,org_to,actiontime_max,alt_max,alt_cnt
3,7,2016-09-01,1,178
3,7,2016-09-01,2,18
3,7,2016-09-02,1,207
3,7,2016-09-02,2,1
3,7,2016-09-03,1,213
3,7,2016-09-03,2,17
3,7,2016-09-04,1,207
3,7,2016-09-04,2,6
3,7,2016-09-05,1,214
3,7,2016-09-06,1,207
3,7,2016-09-06,2,2
3,7,2016-09-07,1,251
3,7,2016-09-08,1,269
3,7,2016-09-08,2,1
3,7,2016-09-09,1,226
3,7,2016-09-09,2,2
3,7,2016-09-10,1,260
3,7,2016-09-11,1,397
3,7,2016-09-11,2,6
3,7,2016-09-12,1,206
3,7,2016-09-12,2,25
3,7,2016-09-13,1,212
3,7,2016-09-13,2,17
3,7,2016-09-14,1,243
3,7,2016-09-15,1,234
3,7,2016-09-16,1,163
3,7,2016-09-16,2,19
3,7,2016-09-17,1,243
3,7,2016-09-18,1,194
3,7,2016-09-18,2,18
3,7,2016-09-19,1,195
3,7,2016-09-19,2,15
3,7,2016-09-20,1,215
3,7,2016-09-21,1,254
3,7,2016-09-21,2,3
3,7,2016-09-22,1,230
3,7,2016-09-22,2,11
3,7,2016-09-23,0,1
3,7,2016-09-23,1,213
3,7,2016-09-23,2,8
3,7,2016-09-24,1,279
3,7,2016-09-25,1,228
3,7,2016-09-25,2,10
3,7,2016-09-26,1,198
3,7,2016-09-27,1,207
3,7,2016-09-27,2,4
3,7,2016-09-28,1,238
3,7,2016-09-29,1,239
3,7,2016-09-30,0,1
3,7,2016-09-30,1,238
3,7,2016-10-01,1,188
3,7,2016-10-01,2,1
3,7,2016-10-02,1,224
3,7,2016-10-02,2,40
3,7,2016-10-03,1,179
3,7,2016-10-03,2,10
3,7,2016-10-04,1,155
3,7,2016-10-04,2,1
3,7,2016-10-05,1,134
3,7,2016-10-05,2,1
3,7,2016-10-06,1,153
3,7,2016-10-07,1,170
3,7,2016-10-07,2,1
3,7,2016-10-08,1,174
3,7,2016-10-08,2,1
3,7,2016-10-09,1,214
3,7,2016-10-09,2,2
3,7,2016-10-10,1,260
3,7,2016-10-10,2,3
3,7,2016-10-11,1,119
3,7,2016-10-11,2,206
3,7,2016-10-11,3,2
3,7,2016-10-12,1,215
3,7,2016-10-12,2,100
3,7,2016-10-12,3,11
3,7,2016-10-13,1,209
3,7,2016-10-13,2,66
3,7,2016-10-13,3,4
3,7,2016-10-14,1,275
3,7,2016-10-14,2,40
3,7,2016-10-15,1,217
3,7,2016-10-15,2,48
3,7,2016-10-15,3,1
3,7,2016-10-16,1,279
3,7,2016-10-16,2,40
3,7,2016-10-16,3,2
3,7,2016-10-17,1,208
3,7,2016-10-17,2,14
3,7,2016-10-18,1,206
3,7,2016-10-19,1,313
3,7,2016-10-20,1,270
3,7,2016-10-20,2,11
3,7,2016-10-21,1,235
3,7,2016-10-21,2,7
3,7,2016-10-22,1,277
3,7,2016-10-22,2,19
3,7,2016-10-23,1,269
3,7,2016-10-23,2,43
3,7,2016-10-23,3,2
3,7,2016-10-24,1,215
3,7,2016-10-24,2,7
3,7,2016-10-25,1,194
3,7,2016-10-25,2,9
3,7,2016-10-25,3,2
3,7,2016-10-26,1,306
3,7,2016-10-26,2,12
3,7,2016-10-27,1,225
3,7,2016-10-27,2,10
3,7,2016-10-28,1,231
3,7,2016-10-28,2,13
3,7,2016-10-29,1,319
3,7,2016-10-29,2,33
3,7,2016-10-29,3,3
3,7,2016-10-30,1,230
3,7,2016-10-30,2,12
3,7,2016-10-31,1,338
3,7,2016-10-31,2,8
3,7,2016-11-01,1,237
3,7,2016-11-01,2,33
3,7,2016-11-01,3,2
3,545,\N,\N,170
3,545,2016-06-03,2,294
3,545,2016-06-04,1,15
3,545,2016-06-04,2,275
3,545,2016-06-05,2,337
3,545,2016-06-05,3,25
3,545,2016-06-06,1,5
3,545,2016-06-06,2,274
3,545,2016-06-06,3,33
3,545,2016-06-07,2,305
3,545,2016-06-07,3,34
3,545,2016-06-08,2,281
3,545,2016-06-08,3,7
3,545,2016-06-08,4,1
3,545,2016-06-09,2,284
3,545,2016-06-09,3,1
3,545,2016-06-10,2,285
3,545,2016-06-10,3,52
3,545,2016-06-10,4,5
3,545,2016-06-11,2,302
3,545,2016-06-11,3,137
3,545,2016-06-11,4,22
3,545,2016-06-11,5,1
3,545,2016-06-12,2,218
3,545,2016-06-12,3,1
3,545,2016-06-13,1,17
3,545,2016-06-13,2,401
3,545,2016-06-13,3,56
