province,2006,2007,2008,2009,2010,2011,2012,2013
全国,283,283,283,283,283,284,285,286
河北省,11,11,11,11,11,11,11,11
山西省,11,11,11,11,11,11,11,11
内蒙古自治区,9,9,9,9,9,9,9,9
辽宁省,14,14,14,14,14,14,14,14
吉林省,8,8,8,8,8,8,8,8
黑龙江省,12,12,12,12,12,12,12,12
江苏省,13,13,13,13,13,13,13,13
浙江省,11,11,11,11,11,11,11,11
安徽省,17,17,17,17,17,16,16,16
福建省,9,9,9,9,9,9,9,9
江西省,11,11,11,11,11,11,11,11
山东省,17,17,17,17,17,17,17,17
河南省,17,17,17,17,17,17,17,17
湖北省,12,12,12,12,12,12,12,12
湖南省,13,13,13,13,13,13,13,13
广东省,21,21,21,21,21,21,21,21
广西壮族自治区,14,14,14,14,14,14,14,14
海南省,2,2,2,2,2,2,3,3
四川省,18,18,18,18,18,18,18,18
贵州省,4,4,4,4,4,6,6,6
云南省,8,8,8,8,8,8,8,8
西藏自治区,1,1,1,1,1,1,1,1
陕西省,10,10,10,10,10,10,10,10
甘肃省,12,12,12,12,12,12,12,12
青海省,1,1,1,1,1,1,1,2
宁夏回族自治区,5,5,5,5,5,5,5,5
新疆维吾尔自治区,2,2,2,2,2,2,2,2
