sku_id	dc_id	order_date	total_sales	sales_as_gift	sales_for_free	big_order_sales	special_order_sales	order_qtty	dt
1000294	4	2017-03-15	10	0	0	0	0	10	2017-03-15
1000294	4	2017-03-20	7	0	0	0	0	7	2017-03-20
1000294	4	2017-03-01	16	0	0	0	0	16	2017-03-01
1000294	4	2017-03-08	2	0	0	0	0	2	2017-03-08
1000294	4	2017-03-07	5	0	0	0	0	5	2017-03-07
1000294	4	2017-02-26	8	0	0	0	0	7	2017-02-26
1000294	4	2017-02-21	12	0	0	0	0	10	2017-02-21
1000294	4	2017-02-25	3	0	0	0	0	3	2017-02-25
1000294	4	2017-03-14	8	0	0	0	0	8	2017-03-14
1000294	4	2017-02-20	2	0	0	0	0	2	2017-02-20
1000294	4	2017-03-06	6	0	0	0	0	5	2017-03-06
1000294	4	2017-03-09	5	0	0	0	0	5	2017-03-09
1000294	4	2017-03-12	1	0	0	0	0	1	2017-03-12
1000294	4	2017-02-28	4	0	0	0	0	4	2017-02-28
1000294	4	2017-03-16	6	0	0	0	0	5	2017-03-16
1000294	4	2017-03-05	3	0	0	0	0	3	2017-03-05
1000294	4	2017-02-19	2	0	0	0	0	2	2017-02-19
1000294	4	2017-03-13	8	0	0	0	0	7	2017-03-13
1000484476	4	2017-02-24	2	0	0	0	0	1	2017-02-24
1000484476	4	2017-03-05	2	0	0	0	0	1	2017-03-05
1000510135	4	2017-02-28	1	0	0	0	0	1	2017-02-28
1000510135	4	2017-03-07	1	0	0	0	0	1	2017-03-07
1000510135	4	2017-03-06	1	0	0	0	0	1	2017-03-06
1000510135	4	2017-02-23	5	0	0	0	0	3	2017-02-23
1000510135	4	2017-03-20	1	0	0	0	0	1	2017-03-20
1000510135	4	2017-02-20	1	0	0	0	0	1	2017-02-20
1000510135	4	2017-03-10	1	0	0	0	0	1	2017-03-10
1000510135	4	2017-03-17	1	0	0	0	0	1	2017-03-17
1000510135	4	2017-02-26	1	0	0	0	0	1	2017-02-26
1000510135	4	2017-03-02	2	0	0	0	0	2	2017-03-02
1000517884	4	2017-02-19	2	0	0	0	0	2	2017-02-19
1000517884	4	2017-02-22	1	0	0	0	0	1	2017-02-22
1000517884	4	2017-03-15	1	0	0	0	0	1	2017-03-15
1000517884	4	2017-03-01	1	0	0	0	0	1	2017-03-01
1000517884	4	2017-03-11	1	0	0	0	0	1	2017-03-11
1000517884	4	2017-03-07	1	0	0	0	0	1	2017-03-07
1000517884	4	2017-02-24	1	0	0	0	0	1	2017-02-24
