date,rdc,order_id,item_sku_id,arrive_quantity
2016/10/14,682,13821727,3742666,6
2016/10/22,682,17702712,383893,14
2016/10/22,682,13761850,566726,20
2016/10/22,682,19125840,630661,40
2016/10/22,682,18966038,843636,11
2016/10/22,682,16874697,1014927,20
2016/10/22,682,17010723,1015331,2279
2016/10/22,682,18239173,1063374,60
2016/10/22,682,18626030,1090185,2
2016/10/22,682,14323221,1126428,2
2016/10/22,682,18920221,1136724,1
2016/10/22,682,19478651,1138344,1
2016/10/22,682,19361892,1163247,0
2016/10/22,682,13904567,1282874,10
2016/10/22,682,19094883,1292431,2
2016/10/22,682,18515637,1307650,25
2016/10/22,682,20454564,1895366,145
2016/10/22,682,19782513,1962846,20
2016/10/22,682,19622905,2121354,5
2016/10/22,682,14766552,2155429,1
2016/10/22,682,15038362,2494997,220
2016/10/22,682,15495004,2524209,60
2016/10/22,682,14128648,2667283,100
2016/10/22,682,16892536,2722973,60
2016/10/22,682,17350984,2779368,2
2016/10/22,682,18213333,2794596,2
2016/10/22,682,16039870,3303335,100
2016/10/26,682,16106414,1010732,40
2016/10/26,682,19105783,1031351,150
2016/10/26,682,17399764,1063068,14
2016/10/26,682,15516204,1063482,200
2016/10/26,682,16636894,1118887,400
2016/10/26,682,14214509,1139299,50
2016/10/26,682,15297895,1298381,60
2016/10/26,682,17088417,1916856,20
2016/10/26,682,18112833,1916937,30
2016/10/26,682,17474879,1962828,2
2016/10/26,682,13975933,2078353,10
2016/10/26,682,13892767,2201173,336
2016/10/26,682,16700925,2410324,120
2016/10/26,682,16532134,2518044,102
2016/10/26,682,19618132,2576590,8
2016/10/26,682,17454125,2729237,2
2016/10/26,682,14482070,2794622,30
2016/10/26,682,15766618,2960472,2
2016/10/26,682,15898022,3312191,2
2016/10/29,682,19753984,972646,3
2016/10/29,682,14448543,1063406,1
2016/10/29,682,18047316,1084683,1
2016/10/29,682,19380726,1093511,40
2016/10/29,682,17429828,1139312,2
2016/10/29,682,14182840,1143308,139
2016/10/29,682,17475687,1144613,82
2016/10/29,682,18849031,1163243,0
2016/10/29,682,19563178,1307638,59
2016/10/29,682,20051925,1322334,30
2016/10/29,682,20181634,1338102,0
