,his_total,pbs_total,his_ad,sim_ad,his_e,sim_e,his_l,sim_l,his_z,sim_z
0,total,total,A-D,A-D,E,E,L,L,Z,Z
1,0.80224247053688846,0.90306270915174058,0.88232977419921832,0.94875722037454324,0.82911392405063289,0.90640913720355287,0.63964816372302569,0.84360106532097567,0.86885615028305963,0.92109495625322013
2,33.121693121649997,37.090909090899999,25.704142011799998,29.308157099699997,26.193548387100002,27.148148148099999,25.902714932149998,33.674999999999997,74.684090909100007,76.266666666649996
3,81.03773835524963,85.352217879144504,31.383077685380457,34.77391437916188,49.987216558853369,48.10898766373721,39.941939198330203,60.414874798247361,182.71873988626572,178.35653783604306
4,3235067.0919242827,3382021.6607949506,2245014.7387897675,2320612.944891483,623297.3907776229,644489.4430052051,197571.8672008605,238014.7801525898,169183.09515602756,178904.4927456725
