actual_origin_rate,actual_plan_rate,actual_pur_qtty,band,day_string,item_sku_id,originalnum,plan_pur_qtty,pur_bill_id,supp_brevity_cd,supp_name,vlt
1.0,1.0,3.0,L,2016-09-08 00:00:00,1003033,3.0,3.0,19120499.0,gzxmcmy,广州美厨智能家居科技股份有限公司,7
1.0,1.0,4.0,L,2016-09-13 00:00:00,1003033,4.0,4.0,19254465.0,gzxmcmy,广州美厨智能家居科技股份有限公司,10
1.0,1.0,2.0,L,2016-09-20 00:00:00,1003033,2.0,2.0,19424047.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
0.0,0.0,0.0,L,2016-10-12 00:00:00,1003033,16.0,16.0,20105244.0,gzxmcmy,广州美厨智能家居科技股份有限公司,7
1.0,1.0,8.0,L,2016-10-18 00:00:00,1003033,8.0,8.0,20337083.0,gzxmcmy,广州美厨智能家居科技股份有限公司,10
0.66666666666666663,0.66666666666666663,4.0,L,2016-10-19 00:00:00,1003033,6.0,6.0,20378606.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
1.0,1.0,16.0,L,2016-10-20 00:00:00,1003033,16.0,16.0,20419013.0,gzxmcmy,广州美厨智能家居科技股份有限公司,3
0.24193548387096775,1.0,15.0,B,2016-07-06 00:00:00,1006759,62.0,15.0,17436453.0,gzxmcmy,广州美厨智能家居科技股份有限公司,8
1.0,1.0,77.0,B,2016-07-13 00:00:00,1006759,77.0,77.0,17558360.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
1.0,1.0,15.0,B,2016-07-22 00:00:00,1006759,15.0,15.0,17794769.0,gzxmcmy,广州美厨智能家居科技股份有限公司,7
1.0,1.0,188.0,B,2016-07-26 00:00:00,1006759,188.0,188.0,17880235.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
1.0,1.0,16.0,B,2016-08-02 00:00:00,1006759,16.0,16.0,18033055.0,gzxmcmy,广州美厨智能家居科技股份有限公司,8
1.0,1.0,65.0,B,2016-08-08 00:00:00,1006759,65.0,65.0,18205477.0,gzxmcmy,广州美厨智能家居科技股份有限公司,10
1.0,1.0,105.0,B,2016-08-15 00:00:00,1006759,105.0,105.0,18399086.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
1.0,1.0,60.0,B,2016-08-30 00:00:00,1006759,60.0,60.0,18827328.0,gzxmcmy,广州美厨智能家居科技股份有限公司,8
1.0,1.0,20.0,B,2016-09-13 00:00:00,1006759,20.0,20.0,19254465.0,gzxmcmy,广州美厨智能家居科技股份有限公司,10
1.0,1.0,164.0,B,2016-09-20 00:00:00,1006759,164.0,164.0,19424047.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
0.47619047619047616,1.0,20.0,B,2016-09-27 00:00:00,1006759,42.0,20.0,19668225.0,gzxmcmy,广州美厨智能家居科技股份有限公司,8
0.5,1.0,162.0,B,2016-10-12 00:00:00,1006759,324.0,162.0,20105234.0,gzxmcmy,广州美厨智能家居科技股份有限公司,7
0.5,1.0,90.0,B,2016-10-18 00:00:00,1006759,180.0,90.0,20337079.0,gzxmcmy,广州美厨智能家居科技股份有限公司,10
