arrive_time,item_sku_id,arrive_quantity,rdc_id
\N,1000030457,60,316
\N,1000040504,100,316
\N,1000055734,70,316
\N,1000103084,10,316
\N,1000224206,10,316
\N,1002007021,16,316
\N,10020264133,2,316
\N,10020780541,40,316
\N,1002665439,110,316
\N,1002729033,10,316
\N,10031480,0,316
\N,10031883776,10,316
\N,10036120588,36,316
\N,1003760703,12,316
\N,10040119006,29,316
\N,10041518599,20,316
\N,1004226943,4,316
\N,10044261495,2,316
\N,10046985998,5,316
\N,10048913631,56,316
\N,1005440482,10,316
\N,10055885513,20,316
\N,10057233762,5,316
\N,10064874,0,316
\N,1006636710,30,316
\N,10072686047,5,316
\N,10073173939,10,316
\N,10073173941,10,316
\N,10075186706,10,316
\N,10075698124,8,316
\N,10081634023,8,316
\N,10084755220,10,316
\N,10086357336,10,316
\N,10086409738,0,316
\N,10088535214,4,316
\N,10089815419,60,316
\N,10091647,0,316
\N,10097713151,24,316
\N,10097759838,1,316
\N,10099319953,9,316
\N,10100533269,5,316
\N,10102989,1,316
\N,10104053335,2,316
\N,10104331382,125,316
\N,10104898542,4,316
\N,10105387307,20,316
\N,10105677,3,316
\N,10110993413,15,316
\N,101110,151,316
\N,10111056090,21,316
\N,10111199462,20,316
\N,10111386,0,316
\N,10111836204,10,316
\N,10112624854,23,316
\N,10112647197,1,316
\N,10112900384,10,316
\N,10114957109,23,316
\N,10120639389,279,316
\N,10121527171,10,316
\N,10126972538,5,316
\N,1013254848,2,316
\N,1013293132,2,316
\N,10135051988,1,316
\N,10135051990,2,316
\N,10138315501,70,316
\N,10138721351,30,316
\N,10140038,0,316
\N,10142389022,4,316
\N,10145252386,0,316
\N,10146211804,3,316
\N,10146894582,30,316
\N,10148562022,12,316
\N,1014863600,2,316
\N,1015315409,24,316
\N,10160173862,48,316
\N,1016351809,7,316
\N,10165303570,10,316
\N,10165873934,2,316
\N,10168018709,2,316
\N,10169322897,39,316
\N,10171363302,5,316
\N,1017141128,7,316
\N,10173372262,6,316
\N,10209741329,10,316
\N,10212901677,20,316
\N,10214967410,1,316
\N,10216293615,5,316
\N,10217121730,104,316
\N,10221257581,3,316
\N,10221529937,0,316
\N,10226674,1,316
\N,10227456735,5,316
\N,10227484239,15,316
\N,10227650875,10,316
\N,10229623,1,316
\N,1023153,10,316
\N,10239180639,25,316
\N,10246456051,10,316
\N,10256756392,25,316
\N,10263793830,6,316
\N,10277530662,2,316
\N,10282687881,120,316
\N,10286269765,20,316
\N,10288214038,4,316
\N,10290853291,10,316
\N,10294231761,2,316
\N,10298781586,5,316
\N,10298933388,9,316
\N,10313243226,1,316
\N,10314677796,11,316
\N,10322695452,38,316
\N,10324091250,3,316
\N,1032643703,60,316
\N,10333536141,50,316
\N,10335442877,5,316
\N,10337913229,8,316
\N,10338526850,3,316
\N,10340919273,5,316
\N,10343166683,2,316
\N,10344077577,2,316
\N,10346039,0,316
\N,10346752929,5,316
\N,10348812188,11,316
\N,10349697105,4,316
\N,10355502145,24,316
\N,10359167463,2,316
\N,10365912435,35,316
\N,10367841989,5,316
\N,10367979033,7,316
\N,10368579,12,316
\N,10374848465,2,316
\N,10374862186,1,316
\N,10375726,1,316
\N,10376208319,2,316
\N,10379132443,3,316
\N,10381356867,2,316
\N,10382673547,24,316
\N,10384790,1,316
\N,10385356,0,316
\N,10388052570,15,316
\N,10388409436,4,316
\N,10389543725,3,316
\N,10389562147,120,316
\N,10393148617,20,316
\N,10393442873,5,316
\N,10398695266,5,316
\N,10398991689,2,316
\N,10400916823,2,316
\N,10401615738,90,316
\N,10403400843,6,316
\N,10403758961,6,316
\N,10406847908,2,316
\N,10409515562,20,316
\N,10413124574,20,316
\N,10414195745,7,316
\N,10417000154,15,316
\N,10417018177,260,316
\N,10417094082,9,316
\N,10417378605,31,316
\N,10418927419,10,316
\N,10419930610,5,316
\N,10421978855,16,316
\N,1042304499,8,316
\N,10426379710,17,316
\N,10426839259,60,316
\N,10428427643,32,316
\N,10430328560,255,316
\N,10430954576,15,316
\N,10431125845,5,316
\N,10431851234,5,316
\N,10433756511,2,316
\N,1043401967,4,316
\N,10437117758,20,316
\N,10438200118,5,316
\N,10438200120,5,316
\N,10438212314,70,316
\N,10439478583,23,316
\N,10443591064,14,316
\N,10444620059,2,316
\N,10445424190,25,316
\N,10446194321,5,316
\N,10446872846,36,316
\N,10447763979,10,316
\N,10448446921,7,316
\N,10448855033,5,316
\N,10448897114,10,316
\N,10450274242,4,316
\N,10450472379,2,316
\N,10452676082,121,316
\N,10452943690,10,316
\N,10453301489,10,316
\N,10454912573,7,316
\N,10455985148,7,316
\N,10458347087,5,316
\N,10459635114,2,316
\N,10460264529,16,316
\N,10460277960,10,316
\N,10461451083,10,316
\N,10461666400,3,316
\N,10461799542,3,316
\N,10464862115,48,316
\N,10465737917,5,316
\N,10466177635,5,316
\N,10466200232,40,316
\N,10466201804,5,316
\N,10469464830,1,316
\N,10471018609,2,316
\N,10479241099,46,316
\N,10479839,0,316
\N,10480173539,3,316
\N,10480173541,3,316
\N,10480318428,5,316
\N,10482251069,5,316
\N,10482320036,3,316
\N,10482372753,16,316
\N,10483666482,5,316
\N,10483852793,5,316
\N,10484069342,12,316
\N,10484381840,5,316
\N,10486599826,5,316
\N,10488975814,50,316
\N,10490100915,2,316
\N,10490232853,8,316
\N,10492422635,3,316
\N,10492513087,2,316
\N,10492559747,2,316
\N,10495760915,16,316
\N,10497300193,10,316
\N,10497393727,0,316
\N,10497718609,2,316
\N,10500055,1,316
\N,10501818484,1,316
\N,10502522512,2,316
\N,10502639309,5,316
\N,10508341586,10,316
\N,10509204188,5,316
\N,10509204190,5,316
\N,10509235357,5,316
\N,10509249354,5,316
\N,10509291159,5,316
\N,10509291161,5,316
\N,10509628373,10,316
\N,10510987120,10,316
\N,10512269485,8,316
\N,10512493608,5,316
\N,10512493610,5,316
\N,10512755950,5,316
\N,10513070402,40,316
\N,10513391076,3,316
\N,10513909429,38,316
\N,10514958842,2,316
\N,10515712700,2,316
\N,10516549507,10,316
\N,10516629868,5,316
\N,10518393265,860,316
\N,10519109698,2,316
\N,10519132764,2,316
\N,10520850322,12,316
\N,10521616579,5,316
\N,10521891104,5,316
\N,10526826162,2,316
\N,10529692936,3,316
\N,10532048599,5,316
\N,10532282113,20,316
\N,10532445224,2,316
\N,10532743923,6,316
\N,10532779347,3,316
\N,10534557325,2,316
\N,10534614415,6,316
\N,10535065498,2,316
\N,10535798191,2,316
\N,10538083368,2,316
\N,10538083370,2,316
\N,10538747170,6,316
\N,10539137025,5,316
\N,10540679834,15,316
\N,10541140644,1,316
\N,10542334037,100,316
\N,10548929965,4,316
\N,10552477067,4,316
\N,10555435206,1,316
\N,10555900132,2,316
\N,10558894356,2,316
\N,10559810660,35,316
\N,10560635442,5,316
\N,10573163629,5,316
\N,10574716125,3,316
\N,10576012416,5,316
\N,10577151811,1,316
\N,10577379346,1,316
\N,10577572360,2,316
\N,10600678712,12,316
\N,10600922418,30,316
\N,10614746,0,316
\N,1062269276,10,316
\N,1062847921,4,316
\N,10666140,0,316
\N,10690301579,416,316
\N,10690451074,336,316
\N,10690715881,12,316
\N,10691380192,16,316
\N,10691766795,18,316
\N,10691780721,8,316
\N,10691919272,4,316
\N,10692005295,66,316
\N,10692192748,36,316
\N,10694385093,138,316
\N,10695843115,156,316
\N,10695981951,290,316
\N,10696004967,32,316
\N,10697152064,24,316
\N,10697632713,120,316
\N,10697690452,78,316
\N,10699618154,20,316
\N,10699622089,99,316
\N,10700675609,60,316
\N,10700883902,18,316
\N,10705239158,6,316
\N,10706615482,40,316
\N,10706618168,440,316
\N,10707486847,60,316
\N,10707638912,60,316
\N,10712729843,24,316
\N,10720671448,150,316
\N,10734677216,10,316
\N,1074713,200,316
\N,10800604,0,316
\N,10808873592,2,316
\N,10808979131,40,316
\N,10809012210,50,316
\N,10809100980,24,316
\N,10810049,0,316
\N,10810467433,207,316
\N,10810549508,30,316
\N,10823768,1,316
\N,1085759,36,316
\N,10861009187,180,316
\N,10900196,0,316
\N,1100025,26,316
\N,1102569,1,316
\N,11056633,1,316
\N,1107751609,8,316
\N,11083569,0,316
\N,1108418,3,316
\N,11093326,13,316
\N,11112468,30,316
\N,11121340,6,316
\N,11122390,1,316
\N,1114185,109,316
\N,11143822,2,316
\N,11214249,4,316
\N,11214251,1,316
\N,11227756,100,316
\N,11242973,0,316
\N,11243010,0,316
\N,11265655,0,316
\N,11266676,1,316
\N,11271520,0,316
\N,11273319,0,316
\N,11290444,0,316
\N,1129328486,40,316
\N,11300707,0,316
\N,11328438,1,316
