sku_id,open_po_fdc,inv_fdc,date_s,dc_id
1000077,0,0,2016-10-01,628
1001364,0,0,2016-10-01,628
1002453,0,0,2016-10-01,628
1002750,0,0,2016-10-01,628
1003245,0,0,2016-10-01,628
10039941572,0,0,2016-10-01,628
1004488,1,0,2016-10-01,628
1004532,0,0,2016-10-01,628
1005621,0,0,2016-10-01,628
1005676,0,0,2016-10-01,628
1005874,0,0,2016-10-01,628
1009339,0,0,2016-10-01,628
1009834,0,7,2016-10-01,628
1013343,0,0,2016-10-01,628
1014487,0,0,2016-10-01,628
1014630,0,0,2016-10-01,628
1014883,0,0,2016-10-01,628
1015224,0,3,2016-10-01,628
1015774,0,12,2016-10-01,628
1016412,0,0,2016-10-01,628
1016610,0,0,2016-10-01,628
1016764,0,0,2016-10-01,628
1016863,0,0,2016-10-01,628
1019734,0,0,2016-10-01,628
1020075,0,0,2016-10-01,628
1020174,0,0,2016-10-01,628
1020273,0,0,2016-10-01,628
1020570,0,0,2016-10-01,628
1021164,0,0,2016-10-01,628
1021560,0,0,2016-10-01,628
1022352,0,0,2016-10-01,628
1022550,0,0,2016-10-01,628
1023397,0,0,2016-10-01,628
1023892,0,0,2016-10-01,628
1024134,0,3,2016-10-01,628
1025025,15,8,2016-10-01,628
1025476,0,0,2016-10-01,628
1025520,0,0,2016-10-01,628
1026268,0,0,2016-10-01,628
1026862,0,0,2016-10-01,628
1027951,0,0,2016-10-01,628
1028897,0,2,2016-10-01,628
1029139,0,0,2016-10-01,628
1029634,0,0,2016-10-01,628
1029689,0,0,2016-10-01,628
1031262,0,0,2016-10-01,628
1031361,0,0,2016-10-01,628
10320912823,0,0,2016-10-01,628
1032351,0,1,2016-10-01,628
1032450,0,0,2016-10-01,628
1033143,0,0,2016-10-01,628
1033693,0,0,2016-10-01,628
1034188,0,11,2016-10-01,628
1034430,0,2,2016-10-01,628
1036663,0,0,2016-10-01,628
1037103,0,0,2016-10-01,628
1037851,0,0,2016-10-01,628
1038247,0,2,2016-10-01,628
1039534,0,0,2016-10-01,628
1039688,0,0,2016-10-01,628
1039787,0,1,2016-10-01,628
1039831,0,0,2016-10-01,628
1041162,0,0,2016-10-01,628
1043296,0,1,2016-10-01,628
1043593,0,2,2016-10-01,628
1044088,0,0,2016-10-01,628
1044484,0,0,2016-10-01,628
1044682,0,0,2016-10-01,628
1058498,0,0,2016-10-01,628
1058795,0,0,2016-10-01,628
